km,potencia,pulsaciones,dia,semana
9,64,161,2025-01-02,1
15,133,166,2025-01-04,1
17,125,157,2025-01-06,2
13,98,166,2025-01-08,2
15,135,163,2025-01-11,2
16,121,155,2025-01-13,3
12,91,156,2025-01-15,3
18,132,160,2025-01-18,3
15,110,166,2025-01-22,4
17,142,159,2025-01-25,4
10,73,169,2025-01-27,5
11,90,167,2025-01-28,5
11,81,157,2025-01-30,5
20,165,158,2025-02-01,5
12,87,169,2025-02-03,6
12,110,152,2025-02-04,6
19,179,160,2025-02-08,6
10,75,163,2025-02-10,7
13,112,157,2025-02-11,7
16,120,159,2025-02-13,7
21,188,162,2025-02-15,7
8,59,153,2025-02-17,8
8,74,154,2025-02-18,8
8,59,168,2025-02-20,8
18,169,174,2025-02-22,8
13,99,164,2025-02-24,9
11,97,158,2025-02-25,9
25,222,160,2025-03-02,9
13,100,161,2025-03-03,10
16,146,160,2025-03-08,10
14,102,169,2025-03-10,11
20,168,175,2025-03-11,11
4,31,155,2025-03-15,11
28,243,174,2025-03-16,11
8,58,165,2025-03-18,12
13,101,164,2025-03-19,12
18,142,169,2025-03-21,12
23,198,156,2025-03-24,13
8,59,168,2025-03-25,13
16,128,169,2025-03-27,13
13,102,171,2025-03-28,13
14,130,152,2025-03-29,13
9,67,169,2025-04-01,14
15,116,171,2025-04-02,14
16,139,180,2025-04-05,14
5,41,162,2025-04-09,15
7,55,178,2025-04-10,15
75,706,142,2025-04-12,15
